display_name,year,works_count,cited_by_count,city,longitude,latitude
"""VNIINM"" named after AA Bochvar",2020,53,583,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2021,50,557,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2022,56,681,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2023,11,366,Moscow,37.461613,55.794662
24th Central Research Institute of the Russian Defence Ministry,NA,NA,NA,Saint Petersburg,29.90144,59.87802
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2012,1,1,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2013,4,1,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2014,9,0,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2015,2,0,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2016,17,0,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2017,2,1,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2018,7,4,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2019,6,6,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2020,21,11,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2021,20,18,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2022,11,20,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2023,7,18,Moscow,37.622856,55.777287
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2013,3,0,Moscow,37.622856,55.777287
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2015,0,1,Moscow,37.622856,55.777287
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2016,1,0,Moscow,37.622856,55.777287
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2017,1,0,Moscow,37.622856,55.777287
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2018,11,0,Moscow,37.622856,55.777287
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2019,2,4,Moscow,37.622856,55.777287
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2020,9,67,Moscow,37.622856,55.777287
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2021,7,1002,Moscow,37.622856,55.777287
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2022,10,713,Moscow,37.622856,55.777287
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2023,5,220,Moscow,37.622856,55.777287
3D Bioprinting Solutions (Russia),2015,1,0,Moscow,37.675503,55.643105
3D Bioprinting Solutions (Russia),2016,7,26,Moscow,37.675503,55.643105
3D Bioprinting Solutions (Russia),2017,3,65,Moscow,37.675503,55.643105
3D Bioprinting Solutions (Russia),2018,11,121,Moscow,37.675503,55.643105
3D Bioprinting Solutions (Russia),2019,7,204,Moscow,37.675503,55.643105
3D Bioprinting Solutions (Russia),2020,11,374,Moscow,37.675503,55.643105
3D Bioprinting Solutions (Russia),2021,6,582,Moscow,37.675503,55.643105
3D Bioprinting Solutions (Russia),2022,9,553,Moscow,37.675503,55.643105
3D Bioprinting Solutions (Russia),2023,3,399,Moscow,37.675503,55.643105
3rd Central Research Institute of the Russian Defence Ministry,2021,1,0,Moscow,37.622856,55.777287
3rd Central Research Institute of the Russian Defence Ministry,2022,2,1,Moscow,37.622856,55.777287
40th State Research Institute of the Ministry of Defence of the Russian Federation,NA,NA,NA,Saint Petersburg,29.795557,59.9112
4th Central Research Institute of the Russian Defence Ministry,NA,NA,NA,Moscow,37.622856,55.777287
A N Bach Institute of Biochemistry,2012,94,2038,Moscow,37.577812,55.7108
A N Bach Institute of Biochemistry,2013,69,2095,Moscow,37.577812,55.7108
A N Bach Institute of Biochemistry,2014,89,2222,Moscow,37.577812,55.7108
A N Bach Institute of Biochemistry,2015,116,2347,Moscow,37.577812,55.7108
A N Bach Institute of Biochemistry,2016,91,2340,Moscow,37.577812,55.7108
A N Bach Institute of Biochemistry,2017,96,2598,Moscow,37.577812,55.7108
A N Bach Institute of Biochemistry,2018,118,2835,Moscow,37.577812,55.7108
A N Bach Institute of Biochemistry,2019,133,3083,Moscow,37.577812,55.7108
A N Bach Institute of Biochemistry,2020,147,3751,Moscow,37.577812,55.7108
A N Bach Institute of Biochemistry,2021,134,4030,Moscow,37.577812,55.7108
A N Bach Institute of Biochemistry,2022,132,4346,Moscow,37.577812,55.7108
A N Bach Institute of Biochemistry,2023,71,2696,Moscow,37.577812,55.7108
A. N. Kosygin Moscow State Textile University,2012,47,121,Moscow,37.597645,55.717937
A. N. Kosygin Moscow State Textile University,2013,33,144,Moscow,37.597645,55.717937
A. N. Kosygin Moscow State Textile University,2014,2,183,Moscow,37.597645,55.717937
A. N. Kosygin Moscow State Textile University,2015,0,155,Moscow,37.597645,55.717937
A. N. Kosygin Moscow State Textile University,2016,0,126,Moscow,37.597645,55.717937
A. N. Kosygin Moscow State Textile University,2017,17,125,Moscow,37.597645,55.717937
A. N. Kosygin Moscow State Textile University,2018,26,176,Moscow,37.597645,55.717937
A. N. Kosygin Moscow State Textile University,2019,47,189,Moscow,37.597645,55.717937
A. N. Kosygin Moscow State Textile University,2020,35,243,Moscow,37.597645,55.717937
A. N. Kosygin Moscow State Textile University,2021,43,218,Moscow,37.597645,55.717937
A. N. Kosygin Moscow State Textile University,2022,49,231,Moscow,37.597645,55.717937
A. N. Kosygin Moscow State Textile University,2023,16,118,Moscow,37.597645,55.717937
A. N. Nesmeyanov Institute of Organoelement Compounds,2012,325,5161,Moscow,37.57504,55.700134
A. N. Nesmeyanov Institute of Organoelement Compounds,2013,363,6018,Moscow,37.57504,55.700134
A. N. Nesmeyanov Institute of Organoelement Compounds,2014,381,6324,Moscow,37.57504,55.700134
A. N. Nesmeyanov Institute of Organoelement Compounds,2015,413,6424,Moscow,37.57504,55.700134
A. N. Nesmeyanov Institute of Organoelement Compounds,2016,411,7217,Moscow,37.57504,55.700134
A. N. Nesmeyanov Institute of Organoelement Compounds,2017,451,7805,Moscow,37.57504,55.700134
A. N. Nesmeyanov Institute of Organoelement Compounds,2018,518,8340,Moscow,37.57504,55.700134
A. N. Nesmeyanov Institute of Organoelement Compounds,2019,541,9170,Moscow,37.57504,55.700134
A. N. Nesmeyanov Institute of Organoelement Compounds,2020,547,10701,Moscow,37.57504,55.700134
A. N. Nesmeyanov Institute of Organoelement Compounds,2021,545,12186,Moscow,37.57504,55.700134
A. N. Nesmeyanov Institute of Organoelement Compounds,2022,509,12495,Moscow,37.57504,55.700134
A. N. Nesmeyanov Institute of Organoelement Compounds,2023,269,7500,Moscow,37.57504,55.700134
A.E. Arbuzov Institute of Organic and Physical Chemistry,2012,135,988,Kazan’,49.186058,55.81407
A.E. Arbuzov Institute of Organic and Physical Chemistry,2013,178,1324,Kazan’,49.186058,55.81407
A.E. Arbuzov Institute of Organic and Physical Chemistry,2014,182,1616,Kazan’,49.186058,55.81407
A.E. Arbuzov Institute of Organic and Physical Chemistry,2015,223,1711,Kazan’,49.186058,55.81407
A.E. Arbuzov Institute of Organic and Physical Chemistry,2016,248,2066,Kazan’,49.186058,55.81407
A.E. Arbuzov Institute of Organic and Physical Chemistry,2017,205,2136,Kazan’,49.186058,55.81407
A.E. Arbuzov Institute of Organic and Physical Chemistry,2018,256,2900,Kazan’,49.186058,55.81407
A.E. Arbuzov Institute of Organic and Physical Chemistry,2019,257,2949,Kazan’,49.186058,55.81407
A.E. Arbuzov Institute of Organic and Physical Chemistry,2020,272,3377,Kazan’,49.186058,55.81407
A.E. Arbuzov Institute of Organic and Physical Chemistry,2021,288,3824,Kazan’,49.186058,55.81407
A.E. Arbuzov Institute of Organic and Physical Chemistry,2022,280,4652,Kazan’,49.186058,55.81407
A.E. Arbuzov Institute of Organic and Physical Chemistry,2023,145,2547,Kazan’,49.186058,55.81407
A.E. Favorsky Irkutsk Institute of Chemistry,2012,185,1179,Irkutsk,104.26883,52.243
A.E. Favorsky Irkutsk Institute of Chemistry,2013,181,1348,Irkutsk,104.26883,52.243
A.E. Favorsky Irkutsk Institute of Chemistry,2014,163,1400,Irkutsk,104.26883,52.243
A.E. Favorsky Irkutsk Institute of Chemistry,2015,182,1450,Irkutsk,104.26883,52.243
A.E. Favorsky Irkutsk Institute of Chemistry,2016,162,1487,Irkutsk,104.26883,52.243
A.E. Favorsky Irkutsk Institute of Chemistry,2017,172,1584,Irkutsk,104.26883,52.243
A.E. Favorsky Irkutsk Institute of Chemistry,2018,165,1828,Irkutsk,104.26883,52.243
A.E. Favorsky Irkutsk Institute of Chemistry,2019,178,1806,Irkutsk,104.26883,52.243
A.E. Favorsky Irkutsk Institute of Chemistry,2020,179,2136,Irkutsk,104.26883,52.243
A.E. Favorsky Irkutsk Institute of Chemistry,2021,170,2382,Irkutsk,104.26883,52.243
A.E. Favorsky Irkutsk Institute of Chemistry,2022,151,2560,Irkutsk,104.26883,52.243
A.E. Favorsky Irkutsk Institute of Chemistry,2023,118,1664,Irkutsk,104.26883,52.243
A.M. Obukhov Institute of Atmospheric Physics,2012,71,975,Moscow,37.632378,55.774788
A.M. Obukhov Institute of Atmospheric Physics,2013,88,1249,Moscow,37.632378,55.774788
A.M. Obukhov Institute of Atmospheric Physics,2014,94,1369,Moscow,37.632378,55.774788
A.M. Obukhov Institute of Atmospheric Physics,2015,83,1421,Moscow,37.632378,55.774788
A.M. Obukhov Institute of Atmospheric Physics,2016,85,1585,Moscow,37.632378,55.774788
A.M. Obukhov Institute of Atmospheric Physics,2017,115,1650,Moscow,37.632378,55.774788
A.M. Obukhov Institute of Atmospheric Physics,2018,158,1839,Moscow,37.632378,55.774788
A.M. Obukhov Institute of Atmospheric Physics,2019,253,2344,Moscow,37.632378,55.774788
A.M. Obukhov Institute of Atmospheric Physics,2020,224,2877,Moscow,37.632378,55.774788
A.M. Obukhov Institute of Atmospheric Physics,2021,233,2943,Moscow,37.632378,55.774788
A.M. Obukhov Institute of Atmospheric Physics,2022,228,3071,Moscow,37.632378,55.774788
A.M. Obukhov Institute of Atmospheric Physics,2023,114,1809,Moscow,37.632378,55.774788
A.P. Karpinsky Russian Geological Research Institute,2012,47,529,Saint Petersburg,30.23782,59.925514
A.P. Karpinsky Russian Geological Research Institute,2013,58,655,Saint Petersburg,30.23782,59.925514
A.P. Karpinsky Russian Geological Research Institute,2014,59,742,Saint Petersburg,30.23782,59.925514
A.P. Karpinsky Russian Geological Research Institute,2015,41,742,Saint Petersburg,30.23782,59.925514
A.P. Karpinsky Russian Geological Research Institute,2016,47,817,Saint Petersburg,30.23782,59.925514
A.P. Karpinsky Russian Geological Research Institute,2017,79,928,Saint Petersburg,30.23782,59.925514
A.P. Karpinsky Russian Geological Research Institute,2018,83,972,Saint Petersburg,30.23782,59.925514
A.P. Karpinsky Russian Geological Research Institute,2019,116,1095,Saint Petersburg,30.23782,59.925514
A.P. Karpinsky Russian Geological Research Institute,2020,76,1227,Saint Petersburg,30.23782,59.925514
A.P. Karpinsky Russian Geological Research Institute,2021,116,1480,Saint Petersburg,30.23782,59.925514
A.P. Karpinsky Russian Geological Research Institute,2022,108,1479,Saint Petersburg,30.23782,59.925514
A.P. Karpinsky Russian Geological Research Institute,2023,42,801,Saint Petersburg,30.23782,59.925514
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2012,3,21,Moscow,37.572475,55.809174
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2013,2,19,Moscow,37.572475,55.809174
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2014,4,28,Moscow,37.572475,55.809174
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2015,9,17,Moscow,37.572475,55.809174
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2016,24,20,Moscow,37.572475,55.809174
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2017,26,14,Moscow,37.572475,55.809174
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2018,30,22,Moscow,37.572475,55.809174
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2019,24,38,Moscow,37.572475,55.809174
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2020,20,47,Moscow,37.572475,55.809174
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2021,20,59,Moscow,37.572475,55.809174
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2022,8,83,Moscow,37.572475,55.809174
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2023,3,70,Moscow,37.572475,55.809174
A.V. Shubnikov Institute of Crystallography,2012,171,4184,Moscow,37.577793,55.7108
A.V. Shubnikov Institute of Crystallography,2013,181,4411,Moscow,37.577793,55.7108
A.V. Shubnikov Institute of Crystallography,2014,160,4577,Moscow,37.577793,55.7108
A.V. Shubnikov Institute of Crystallography,2015,185,4650,Moscow,37.577793,55.7108
A.V. Shubnikov Institute of Crystallography,2016,157,4498,Moscow,37.577793,55.7108
A.V. Shubnikov Institute of Crystallography,2017,193,4647,Moscow,37.577793,55.7108
A.V. Shubnikov Institute of Crystallography,2018,239,5169,Moscow,37.577793,55.7108
A.V. Shubnikov Institute of Crystallography,2019,288,5103,Moscow,37.577793,55.7108
A.V. Shubnikov Institute of Crystallography,2020,272,5619,Moscow,37.577793,55.7108
A.V. Shubnikov Institute of Crystallography,2021,261,5932,Moscow,37.577793,55.7108
A.V. Shubnikov Institute of Crystallography,2022,270,5943,Moscow,37.577793,55.7108
A.V. Shubnikov Institute of Crystallography,2023,141,3604,Moscow,37.577793,55.7108
A.V. Topchiev Institute of Petrochemical Synthesis,2012,131,1357,Moscow,37.577812,55.710815
A.V. Topchiev Institute of Petrochemical Synthesis,2013,143,1653,Moscow,37.577812,55.710815
A.V. Topchiev Institute of Petrochemical Synthesis,2014,151,1743,Moscow,37.577812,55.710815
A.V. Topchiev Institute of Petrochemical Synthesis,2015,163,2211,Moscow,37.577812,55.710815
A.V. Topchiev Institute of Petrochemical Synthesis,2016,185,2419,Moscow,37.577812,55.710815
A.V. Topchiev Institute of Petrochemical Synthesis,2017,207,2668,Moscow,37.577812,55.710815
A.V. Topchiev Institute of Petrochemical Synthesis,2018,338,3172,Moscow,37.577812,55.710815
A.V. Topchiev Institute of Petrochemical Synthesis,2019,364,3844,Moscow,37.577812,55.710815
A.V. Topchiev Institute of Petrochemical Synthesis,2020,373,4474,Moscow,37.577812,55.710815
A.V. Topchiev Institute of Petrochemical Synthesis,2021,321,5053,Moscow,37.577812,55.710815
A.V. Topchiev Institute of Petrochemical Synthesis,2022,338,5595,Moscow,37.577812,55.710815
A.V. Topchiev Institute of Petrochemical Synthesis,2023,170,3805,Moscow,37.577812,55.710815
Academician M.F. Reshetnev Information Satellite Systems (Russia),2012,4,2,Zheleznogorsk,93.53413,56.26076
Academician M.F. Reshetnev Information Satellite Systems (Russia),2013,8,6,Zheleznogorsk,93.53413,56.26076
Academician M.F. Reshetnev Information Satellite Systems (Russia),2014,10,11,Zheleznogorsk,93.53413,56.26076
Academician M.F. Reshetnev Information Satellite Systems (Russia),2015,15,12,Zheleznogorsk,93.53413,56.26076
Academician M.F. Reshetnev Information Satellite Systems (Russia),2016,11,30,Zheleznogorsk,93.53413,56.26076
Academician M.F. Reshetnev Information Satellite Systems (Russia),2017,19,31,Zheleznogorsk,93.53413,56.26076
Academician M.F. Reshetnev Information Satellite Systems (Russia),2018,43,39,Zheleznogorsk,93.53413,56.26076
Academician M.F. Reshetnev Information Satellite Systems (Russia),2019,36,74,Zheleznogorsk,93.53413,56.26076
Academician M.F. Reshetnev Information Satellite Systems (Russia),2020,59,85,Zheleznogorsk,93.53413,56.26076
Academician M.F. Reshetnev Information Satellite Systems (Russia),2021,63,105,Zheleznogorsk,93.53413,56.26076
Academician M.F. Reshetnev Information Satellite Systems (Russia),2022,48,130,Zheleznogorsk,93.53413,56.26076
Academician M.F. Reshetnev Information Satellite Systems (Russia),2023,11,76,Zheleznogorsk,93.53413,56.26076
Academician Pilyugin Center,2012,11,284,Moscow,37.676304,55.797955
Academician Pilyugin Center,2013,16,252,Moscow,37.676304,55.797955
Academician Pilyugin Center,2014,21,255,Moscow,37.676304,55.797955
Academician Pilyugin Center,2015,9,228,Moscow,37.676304,55.797955
Academician Pilyugin Center,2016,29,217,Moscow,37.676304,55.797955
Academician Pilyugin Center,2017,29,196,Moscow,37.676304,55.797955
Academician Pilyugin Center,2018,37,196,Moscow,37.676304,55.797955
Academician Pilyugin Center,2019,31,228,Moscow,37.676304,55.797955
Academician Pilyugin Center,2020,34,239,Moscow,37.676304,55.797955
Academician Pilyugin Center,2021,19,255,Moscow,37.676304,55.797955
Academician Pilyugin Center,2022,15,222,Moscow,37.676304,55.797955
Academician Pilyugin Center,2023,7,149,Moscow,37.676304,55.797955
Academician V.P.Makeyev State Rocket Centre (Russia),2012,0,3,Chelyabinsk,60.127895,55.08484
Academician V.P.Makeyev State Rocket Centre (Russia),2013,1,5,Chelyabinsk,60.127895,55.08484
Academician V.P.Makeyev State Rocket Centre (Russia),2014,2,4,Chelyabinsk,60.127895,55.08484
Academician V.P.Makeyev State Rocket Centre (Russia),2015,2,7,Chelyabinsk,60.127895,55.08484
Academician V.P.Makeyev State Rocket Centre (Russia),2016,6,10,Chelyabinsk,60.127895,55.08484
Academician V.P.Makeyev State Rocket Centre (Russia),2017,2,6,Chelyabinsk,60.127895,55.08484
Academician V.P.Makeyev State Rocket Centre (Russia),2018,0,13,Chelyabinsk,60.127895,55.08484
Academician V.P.Makeyev State Rocket Centre (Russia),2019,2,17,Chelyabinsk,60.127895,55.08484
Academician V.P.Makeyev State Rocket Centre (Russia),2020,6,20,Chelyabinsk,60.127895,55.08484
Academician V.P.Makeyev State Rocket Centre (Russia),2021,14,17,Chelyabinsk,60.127895,55.08484
Academician V.P.Makeyev State Rocket Centre (Russia),2022,7,19,Chelyabinsk,60.127895,55.08484
Academician V.P.Makeyev State Rocket Centre (Russia),2023,1,10,Chelyabinsk,60.127895,55.08484
Academy of Choral Arts named after V Popov,2013,1,0,Moscow,37.48347,55.856445
Academy of Choral Arts named after V Popov,2015,2,0,Moscow,37.48347,55.856445
Academy of Choral Arts named after V Popov,2020,3,0,Moscow,37.48347,55.856445
Academy of Choral Arts named after V Popov,2021,2,0,Moscow,37.48347,55.856445
Academy of Choral Arts named after V Popov,2022,4,0,Moscow,37.48347,55.856445
Academy of Economic Security,2012,0,1,Moscow,37.65288,55.8579
Academy of Economic Security,2013,2,0,Moscow,37.65288,55.8579
Academy of Economic Security,2015,1,0,Moscow,37.65288,55.8579
Academy of Economic Security,2016,2,0,Moscow,37.65288,55.8579
Academy of Economic Security,2019,1,0,Moscow,37.65288,55.8579
Academy of Economic Security,2020,3,0,Moscow,37.65288,55.8579
Academy of Economic Security,2021,1,2,Moscow,37.65288,55.8579
Academy of Economic Security,2022,2,1,Moscow,37.65288,55.8579
Academy of Economic Security,2023,1,0,Moscow,37.65288,55.8579
Academy of Federal Security Guard Service of Russian Federation,2012,3,1,Oryol,36.05379,52.98644
Academy of Federal Security Guard Service of Russian Federation,2015,1,1,Oryol,36.05379,52.98644
Academy of Federal Security Guard Service of Russian Federation,2016,1,4,Oryol,36.05379,52.98644
Academy of Federal Security Guard Service of Russian Federation,2017,3,0,Oryol,36.05379,52.98644
Academy of Federal Security Guard Service of Russian Federation,2018,4,4,Oryol,36.05379,52.98644
Academy of Federal Security Guard Service of Russian Federation,2019,11,0,Oryol,36.05379,52.98644
Academy of Federal Security Guard Service of Russian Federation,2020,13,8,Oryol,36.05379,52.98644
Academy of Federal Security Guard Service of Russian Federation,2021,25,37,Oryol,36.05379,52.98644
Academy of Federal Security Guard Service of Russian Federation,2022,9,45,Oryol,36.05379,52.98644
Academy of Federal Security Guard Service of Russian Federation,2023,3,21,Oryol,36.05379,52.98644
Academy of Innovation Management,2015,1,0,Moscow,37.656944,55.789375
Academy of Innovation Management,2016,1,1,Moscow,37.656944,55.789375
Academy of Innovation Management,2018,4,0,Moscow,37.656944,55.789375
Academy of Innovation Management,2019,8,1,Moscow,37.656944,55.789375
Academy of Innovation Management,2020,5,8,Moscow,37.656944,55.789375
Academy of Innovation Management,2021,6,7,Moscow,37.656944,55.789375
Academy of Innovation Management,2022,5,4,Moscow,37.656944,55.789375
Academy of Innovation Management,2023,2,2,Moscow,37.656944,55.789375
Academy of Labour and Social Relations,2012,2,10,Moscow,37.48658,55.676205
Academy of Labour and Social Relations,2013,8,10,Moscow,37.48658,55.676205
Academy of Labour and Social Relations,2014,6,6,Moscow,37.48658,55.676205
Academy of Labour and Social Relations,2015,4,10,Moscow,37.48658,55.676205
Academy of Labour and Social Relations,2016,3,6,Moscow,37.48658,55.676205
Academy of Labour and Social Relations,2017,5,14,Moscow,37.48658,55.676205
Academy of Labour and Social Relations,2018,41,6,Moscow,37.48658,55.676205
Academy of Labour and Social Relations,2019,51,7,Moscow,37.48658,55.676205
Academy of Labour and Social Relations,2020,94,11,Moscow,37.48658,55.676205
Academy of Labour and Social Relations,2021,104,36,Moscow,37.48658,55.676205
Academy of Labour and Social Relations,2022,54,36,Moscow,37.48658,55.676205
Academy of Labour and Social Relations,2023,45,37,Moscow,37.48658,55.676205
Academy of Law Management of the Federal Penal Service of Russia,2013,1,0,Ryazan,39.732952,54.63013
Academy of Law Management of the Federal Penal Service of Russia,2014,1,0,Ryazan,39.732952,54.63013
Academy of Law Management of the Federal Penal Service of Russia,2015,1,0,Ryazan,39.732952,54.63013
Academy of Law Management of the Federal Penal Service of Russia,2016,3,0,Ryazan,39.732952,54.63013
Academy of Law Management of the Federal Penal Service of Russia,2017,6,0,Ryazan,39.732952,54.63013
Academy of Law Management of the Federal Penal Service of Russia,2018,14,1,Ryazan,39.732952,54.63013
Academy of Law Management of the Federal Penal Service of Russia,2019,35,7,Ryazan,39.732952,54.63013
Academy of Law Management of the Federal Penal Service of Russia,2020,41,15,Ryazan,39.732952,54.63013
Academy of Law Management of the Federal Penal Service of Russia,2021,52,33,Ryazan,39.732952,54.63013
Academy of Law Management of the Federal Penal Service of Russia,2022,33,53,Ryazan,39.732952,54.63013
Academy of Law Management of the Federal Penal Service of Russia,2023,11,18,Ryazan,39.732952,54.63013
Academy of Management of the Interior Ministry of Russia,2012,1,0,Moscow,37.506886,55.819756
Academy of Management of the Interior Ministry of Russia,2014,2,0,Moscow,37.506886,55.819756
Academy of Management of the Interior Ministry of Russia,2015,0,1,Moscow,37.506886,55.819756
Academy of Management of the Interior Ministry of Russia,2016,4,0,Moscow,37.506886,55.819756
Academy of Management of the Interior Ministry of Russia,2017,7,1,Moscow,37.506886,55.819756
Academy of Management of the Interior Ministry of Russia,2018,43,13,Moscow,37.506886,55.819756
Academy of Management of the Interior Ministry of Russia,2019,46,16,Moscow,37.506886,55.819756
Academy of Management of the Interior Ministry of Russia,2020,76,35,Moscow,37.506886,55.819756
Academy of Management of the Interior Ministry of Russia,2021,128,33,Moscow,37.506886,55.819756
Academy of Management of the Interior Ministry of Russia,2022,119,45,Moscow,37.506886,55.819756
Academy of Management of the Interior Ministry of Russia,2023,54,4,Moscow,37.506886,55.819756
Academy of Sciences of the Republic of Bashkortostan,2012,25,170,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Bashkortostan,2013,42,183,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Bashkortostan,2014,28,229,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Bashkortostan,2015,31,246,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Bashkortostan,2016,26,258,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Bashkortostan,2017,31,243,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Bashkortostan,2018,33,226,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Bashkortostan,2019,51,308,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Bashkortostan,2020,48,365,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Bashkortostan,2021,63,409,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Bashkortostan,2022,36,418,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Bashkortostan,2023,15,220,Ufa,55.95128,54.73123
Academy of Sciences of the Republic of Sakha,2012,1,326,Yakutsk,129.73872,62.043495
Academy of Sciences of the Republic of Sakha,2013,6,374,Yakutsk,129.73872,62.043495
Academy of Sciences of the Republic of Sakha,2014,7,342,Yakutsk,129.73872,62.043495
Academy of Sciences of the Republic of Sakha,2015,13,398,Yakutsk,129.73872,62.043495
Academy of Sciences of the Republic of Sakha,2016,17,320,Yakutsk,129.73872,62.043495
Academy of Sciences of the Republic of Sakha,2017,10,306,Yakutsk,129.73872,62.043495
