region_shp,year,type,works_count,cited_by_count,inst_count
City of St. Petersburg,2019,facility,7002,68796,74
City of St. Petersburg,2019,government,46,275,3
City of St. Petersburg,2019,healthcare,620,6412,18
City of St. Petersburg,2019,nonprofit,144,1445,4
City of St. Petersburg,2019,other,17,42,2
City of St. Petersburg,2020,archive,661,12248,5
City of St. Petersburg,2020,company,164,1181,12
City of St. Petersburg,2020,education,20998,138915,70
City of St. Petersburg,2020,facility,7627,81900,75
City of St. Petersburg,2020,government,68,326,3
City of St. Petersburg,2020,healthcare,719,7984,20
City of St. Petersburg,2020,nonprofit,199,1851,4
City of St. Petersburg,2020,other,13,42,2
City of St. Petersburg,2021,archive,717,13050,5
City of St. Petersburg,2021,company,204,1516,12
City of St. Petersburg,2021,education,21447,165119,72
City of St. Petersburg,2021,facility,7737,93919,76
City of St. Petersburg,2021,government,82,350,3
City of St. Petersburg,2021,healthcare,733,10519,19
City of St. Petersburg,2021,nonprofit,220,2543,4
City of St. Petersburg,2021,other,12,99,2
City of St. Petersburg,2022,archive,763,14014,5
City of St. Petersburg,2022,company,127,1531,12
City of St. Petersburg,2022,education,19651,175519,72
City of St. Petersburg,2022,facility,7511,97708,75
City of St. Petersburg,2022,government,71,332,3
City of St. Petersburg,2022,healthcare,713,11625,19
City of St. Petersburg,2022,nonprofit,196,2807,4
City of St. Petersburg,2022,other,7,64,2
City of St. Petersburg,2023,archive,607,15797,5
City of St. Petersburg,2023,company,111,1512,12
City of St. Petersburg,2023,education,16189,190695,73
City of St. Petersburg,2023,facility,6810,104514,75
City of St. Petersburg,2023,government,48,406,3
City of St. Petersburg,2023,healthcare,616,12007,19
City of St. Petersburg,2023,nonprofit,204,3004,4
City of St. Petersburg,2023,other,5,58,2
City of St. Petersburg,2024,archive,147,4134,5
City of St. Petersburg,2024,company,26,453,11
City of St. Petersburg,2024,education,3937,64300,67
City of St. Petersburg,2024,facility,1436,33971,71
City of St. Petersburg,2024,government,10,107,3
City of St. Petersburg,2024,healthcare,169,4330,18
City of St. Petersburg,2024,nonprofit,48,1090,4
City of St. Petersburg,2024,other,1,12,1
Dagestan,2012,education,48,119,5
Dagestan,2012,facility,84,502,2
Dagestan,2012,healthcare,5,24,2
Dagestan,2013,education,43,110,3
Dagestan,2013,facility,95,691,3
Dagestan,2013,healthcare,4,15,2
Dagestan,2014,education,50,169,5
Dagestan,2014,facility,86,681,3
Dagestan,2014,healthcare,10,35,2
Dagestan,2015,education,95,164,5
Dagestan,2015,facility,98,662,2
Dagestan,2015,healthcare,18,48,2
Dagestan,2016,education,96,216,4
Dagestan,2016,facility,123,687,3
Dagestan,2016,healthcare,26,65,2
Dagestan,2017,education,169,272,5
Dagestan,2017,facility,131,854,2
Dagestan,2017,healthcare,25,62,2
Dagestan,2018,education,253,330,4
Dagestan,2018,facility,209,992,4
Dagestan,2018,healthcare,43,68,2
Dagestan,2019,education,285,634,5
Dagestan,2019,facility,222,1282,4
Dagestan,2019,healthcare,69,83,2
Dagestan,2020,education,375,900,5
Dagestan,2020,facility,189,1576,3
Dagestan,2020,healthcare,95,139,2
Dagestan,2021,education,721,1213,5
Dagestan,2021,facility,206,1550,2
Dagestan,2021,healthcare,122,192,2
Dagestan,2022,education,718,1637,5
Dagestan,2022,facility,230,1780,3
Dagestan,2022,healthcare,114,275,2
Dagestan,2023,education,471,1584,5
Dagestan,2023,facility,158,1806,4
Dagestan,2023,healthcare,111,313,2
Dagestan,2024,education,64,534,5
Dagestan,2024,facility,36,608,2
Dagestan,2024,healthcare,20,111,2
Gorno-Altay,2012,education,21,150,1
Gorno-Altay,2012,other,7,73,1
Gorno-Altay,2013,education,16,172,1
Gorno-Altay,2013,other,21,64,1
Gorno-Altay,2014,education,17,192,1
Gorno-Altay,2014,other,21,103,1
Gorno-Altay,2015,education,20,227,1
Gorno-Altay,2015,other,37,131,1
Gorno-Altay,2016,education,19,323,1
Gorno-Altay,2016,other,29,196,1
Gorno-Altay,2017,education,32,313,1
Gorno-Altay,2017,other,20,218,1
Gorno-Altay,2018,education,38,411,1
Gorno-Altay,2018,other,33,296,1
Gorno-Altay,2019,education,62,417,1
Gorno-Altay,2019,other,38,326,1
Gorno-Altay,2020,education,85,469,1
Gorno-Altay,2020,other,59,449,1
Gorno-Altay,2021,education,109,478,1
Gorno-Altay,2021,other,43,511,1
Gorno-Altay,2022,education,105,484,1
Gorno-Altay,2022,other,35,594,1
Gorno-Altay,2023,education,49,431,1
Gorno-Altay,2023,other,31,681,1
Gorno-Altay,2024,education,10,124,1
Gorno-Altay,2024,other,12,156,1
Ingush,2012,education,3,4,1
Ingush,2013,education,1,3,1
Ingush,2014,education,3,9,1
Ingush,2015,education,5,2,1
Ingush,2016,education,8,3,1
Ingush,2017,education,2,11,1
Ingush,2018,education,12,8,1
Ingush,2019,education,34,12,1
Ingush,2020,education,49,16,1
Ingush,2021,education,112,64,1
Ingush,2022,education,58,90,1
Ingush,2023,education,49,149,1
Ingush,2024,education,6,16,1
Irkutsk,2012,company,15,1,2
Irkutsk,2012,education,263,1077,10
Irkutsk,2012,facility,733,5862,13
Irkutsk,2012,healthcare,28,18,2
Irkutsk,2013,company,1,0,1
Irkutsk,2013,education,268,1353,10
Irkutsk,2013,facility,772,7210,13
Irkutsk,2013,healthcare,20,25,2
Irkutsk,2014,archive,1,0,1
Irkutsk,2014,company,11,1,2
Irkutsk,2014,education,357,1453,10
Irkutsk,2014,facility,804,7223,13
Irkutsk,2014,healthcare,29,27,2
Irkutsk,2015,company,11,4,2
Irkutsk,2015,education,601,1712,11
Irkutsk,2015,facility,951,8026,13
Irkutsk,2015,healthcare,59,37,2
Irkutsk,2016,archive,0,1,1
Irkutsk,2016,company,4,3,2
Irkutsk,2016,education,625,2338,11
Irkutsk,2016,facility,869,8717,14
Irkutsk,2016,healthcare,44,60,2
Irkutsk,2017,company,7,9,2
Irkutsk,2017,education,958,2845,11
Irkutsk,2017,facility,1055,9567,13
Irkutsk,2017,healthcare,86,145,2
Irkutsk,2018,archive,1,0,1
Irkutsk,2018,company,3,12,2
Irkutsk,2018,education,1370,3575,11
Irkutsk,2018,facility,1589,11501,14
Irkutsk,2018,healthcare,70,180,2
Irkutsk,2019,archive,1,6,1
Irkutsk,2019,company,5,12,2
Irkutsk,2019,education,1897,4793,12
Irkutsk,2019,facility,1692,13248,14
Irkutsk,2019,healthcare,158,213,2
Irkutsk,2020,archive,2,1,1
Irkutsk,2020,company,1,12,2
Irkutsk,2020,education,2223,6492,12
Irkutsk,2020,facility,1708,15185,14
Irkutsk,2020,healthcare,114,333,2
Irkutsk,2021,archive,2,10,1
Irkutsk,2021,company,5,19,2
Irkutsk,2021,education,2787,8758,12
Irkutsk,2021,facility,1705,17843,14
Irkutsk,2021,healthcare,160,511,2
Irkutsk,2022,archive,3,13,1
Irkutsk,2022,company,2,11,2
